GOOGL,2025-12-31
TSM,2025-12-31
NVDA,2026-01-31
GLW,2025-12-31
TSLA,2025-12-31
AMZN,2025-12-31
RTX,2025-12-31
COHR,2025-12-31
VRT,2025-12-31
AKAM,2025-12-31
DIS,2025-12-31
C,2025-12-31
OII,2025-12-31
VTRS,2025-12-31
WFRD,2025-12-31
9988.HK,2025-12-31
3750.HK,2025-12-31
0700.HK,2025-09-30
1072.HK,2025-06-30
9868.HK,2025-09-30
0981.HK,2025-12-31
2318.HK,2025-09-30
6030.HK,2025-06-30
1288.HK,2025-09-30
2899.HK,2025-06-30
6981.T,2025-09-30
005930.KS,2025-12-31
000660.KS,2025-12-31
012330.KS,2025-12-31
005387.KS,2025-12-31
005380.KS,2025-12-31
071050.KS,2025-09-30
001040.KS,2025-09-30
